,X.1,X,Tray..,ID.Tray,ID,species,species.1,State,weigth,Sample.ID,X15N,R,X15N_percent,Total.N,Diet,Locality,year,date,region,speciesID,species2,animal
112,113,113,2,B5,293123,U.arctos,U.arctos,Alaska,1.21,293123,6.81,0.0037,0.36879,170.99,bear,"Point Barrow, 115 Mi SE, Titalvk",1951,1951,Alaska-US,UR,U.arctos,U.arctos.A
113,114,114,2,B6,293124,U.arctos,U.arctos,Alaska,0.58,293124,8.21,0.00371,0.3693,83.65,bear,"Anaktiktoak Creek, Anaktuyuk Pass, Brooks Range",1951,1951,Alaska-US,UR,U.arctos,U.arctos.A
114,115,115,2,B7,293125,U.arctos,U.arctos,Alaska,1.49,293125,4.43,0.00369,0.36792,211.3,bear,"Anaktiktork Creek, Anaktuvuk Pass, Brooks Range",1951,1951,Alaska-US,UR,U.arctos,U.arctos.A
115,116,116,2,B8,293782,U.arctos,U.arctos,Alaska,1.52,293782,4.91,0.00369,0.3681,214.96,bear,"Chandalar Valley, Arctic Village",1951,1951,Alaska-US,UR,U.arctos,U.arctos.A
116,117,117,2,B9,294029,U.arctos,U.arctos,Alaska,1.23,294029,4,0.00369,0.36776,168.7,bear,"Chandalar River, 4 Mi, Arctic Village",1951,1951,Alaska-US,UR,U.arctos,U.arctos.A
117,118,118,2,B10,294078,U.arctos,U.arctos,Alaska,1.1,294078,3.71,0.00369,0.36766,160.9,bear,"John River, 10 Mi N Hunt Fork, Timberline",1969,1969,Alaska-US,UR,U.arctos,U.arctos.A
118,119,119,2,B11,286413,U.arctos,U.arctos,Alaska,1.01,286413,14.7,0.00373,0.37167,142.54,bear,"Cook's Inlet, Chinitna Bay",1950,1950,Alaska-US,UR,U.arctos,U.arctos.A
119,120,120,2,B12,223393,U.arctos,U.arctos,New Mexico,1.33,223393,7.96,0.00371,0.36921,192.07,bear,"Black Range, 25 Mi NW Of Chloride. Sierra County",1916,1916,New Mexico-US,UR,U.arctos,U.arctos.NM
120,121,121,2,C1,223394,U.arctos,U.arctos,New Mexico,0.89,223394,8.47,0.00371,0.3694,129.21,bear,"Black Range, 25 Mi NW Of Chloride. Sierra County",1916,1916,New Mexico-US,UR,U.arctos,U.arctos.NM
121,122,122,2,C2,223395,U.arctos,U.arctos,New Mexico,1.06,223395,8.36,0.00371,0.36935,154.02,bear,"Black Range, 25 Mi NW Of Chloride. Sierra County",1916,1916,New Mexico-US,UR,U.arctos,U.arctos.NM
122,123,123,2,C3,223396,U.arctos,U.arctos,New Mexico,0.98,223396,6.88,0.0037,0.36881,143,bear,black range,1916,1916,New Mexico-US,UR,U.arctos,U.arctos.NM
